STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文,TRADITIONAL CHINESE / 繁体中文,KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,العربية / ARABIC,BOSNIAN
CREDITS_TITLE,,Credits,Crédits,Créditos,Mitwirkende,,,,,,,,,,,,,クレジット,制作人员,,크레딧,,,,,,,,
CREDITS_OG,,OG Team,Équipe originelle,Equipo de OG,Primär-Team,,,,,,,,,,,,,OGチーム,"编程、
游戏和关卡设计、
画面",,OG 팀,,,,,,,,
CREDITS_GAME_DESIGN,,Game Design,Conception,Diseño de Juego,Spieldesign,,,,,,,,,,,,,ゲームデザイン,"编程、
游戏设计",,게임 디자인,,,,,,,,
CREDITS_SOUND,,Music Content & Sound,Contenu musical et son,Contenido Musical y Sonido,Musikinhalte & Sound,,,,,,,,,,,,,音楽＆サウンド,音乐与音效,,음악 콘텐츠 & 사운드,,,,,,,,
CREDITS_MARKETING,,Marketing,Marketing,Marketing,Marketing,,,,,,,,,,,,,マーケティング,市场,,마케팅,,,,,,,,
CREDITS_PROGRAMMING,,Programming,Programmation,Programación,Programmierung,,,,,,,,,,,,,プログラミング,补充编程,,프로그래밍,,,,,,,,
CREDITS_LEVEL_CREATORS,,Level Creators,Créateurs de niveaux,Creadores de Niveles,Levelgestalter,,,,,,,,,,,,,レベルクリエーター,补充关卡制作,,레벨 제작자,,,,,,,,
CREDITS_3D_GRAPHICS,,3D Graphics,Graphismes 3D,Gráficos 3D,3D-Grafik,,,,,,,,,,,,,3Dグラフィック,,,3D 그래픽,,,,,,,,
CREDITS_EXTRA_MUSIC_ARTISTS,,Extra Music Artists,Musiciens supplémentaires,Artistas Musicales Adicionales,Musikkünstler (Extra),,,,,,,,,,,,,エキストラ音楽アーティスト,,,기타 음악 아티스트,,,,,,,,
CREDITS_2D_GRAPHICS,,2D Graphics,Graphismes 2D,Gráficos 2D,2D-Grafik,,,,,,,,,,,,,2Dグラフィック,,,2D 그래픽,,,,,,,,
CREDITS_THANK_YOU_NOTE,,Thanks to everyone who supported us and helped us make this game a reality!,Merci à toutes et tous de nous avoir soutenus et aidés à produire ce jeu !,¡Gracias a todos los que nos han apoyado y ayudado a que este juego se convierta en una realidad!,"Danke an alle, die uns unterstützt und geholfen haben, dieses Spiel Wirklichkeit werden zu lassen!",,,,,,,,,,,,,このゲームの実現をサポートし、手を貸してくださった皆さんに感謝いたします！,感谢支持我们帮助我们完成这款游戏的每个人！,,이 게임을 현실로 만들 수 있게 도와주고 응원해주신 모든 분들께 감사드립니다.,,,,,,,,
CREDITS_SPECIAL_THANKS,,Special thanks to,Remerciements,Agradecimientos especiales a,Besonderen Dank an,,,,,,,,,,,,,特別な感謝：,特别鸣谢,,특별히 감사한 분들,,,,,,,,
CREDITS_VFX,,VFX,Effets visuels,VFX,Visuelle Effekte,,,,,,,,,,,,,VFX,,,VFX,,,,,,,,
CREDITS_UI_UX,,UI/UX,"Interface, expérience utilisateur",UI/UX,Benutzeroberfläche/Benutzererlebnis,,,,,,,,,,,,,UI/UX,,,UI/UX,,,,,,,,
CREDITS_ENGINEERING_MANAGER,,Engineering Manager,Responsable ingénierie,Gerente de Ingeniería,Engineering Manager,,,,,,,,,,,,,エンジニアリングマネージャー,,,엔지니어링 매니저,,,,,,,,
CREDITS_RELEASE_MANAGER,,Release Manager,Responsable publication,Gerente de Lanzamiento,Release Manager,,,,,,,,,,,,,リリースマネージャー,,,릴리스 매니저,,,,,,,,
CREDITS_OFFICE_MANAGER,,Office Manager,Responsable administratif,Gerente de Oficina,Büromanager,,,,,,,,,,,,,オフィスマネージャー,,,오피스 매니저,,,,,,,,
CREDITS_INTERNAL_QA_LEAD,,Internal QA Lead,Responsable assurance qualité interne,Director interno de QA,Leitung Interne QA,,,,,,,,,,,,,内部QAリーダー,,,내부 QA 리드,,,,,,,,
CREDITS_DEVELOPMENT_PRODUCER,,Producteur au développement,Producteur au développement,Productor de desarrollo,Produktion Entwicklung,,,,,,,,,,,,,開発プロデューサー,,,개발 프로듀서,,,,,,,,
CREDITS_CONCEPT_ARTIST,,Concept artist,Artiste de concept,Artista conceptual,Konzeptdesign,,,,,,,,,,,,,コンセプトアーティスト,,,컨셉 아티스트,,,,,,,,
BUTTON_PLAY,,Play,Jouer,Jugar,Spielen,,,,,,,,,,,,,プレイ,开始,,플레이,,,,,,,,
BUTTON_CONTINUE,,Continue,Continuer,Continuar,Fortfahren,,,,,,,,,,,,,コンティニュー,继续,,계속,,,,,,,,
BUTTON_SKIP,,Skip,Passer,Omitir,Überspringen,,,,,,,,,,,,,スキップ,跳过,,건너뛰기,,,,,,,,
BUTTON_CANCEL,,Cancel,Annuler,Cancelar,Abbrechen,,,,,,,,,,,,,キャンセル,取消,,취소,,,,,,,,
BUTTON_RETRY,,Retry,Réessayer,Volver a Intentar,Erneut probieren,,,,,,,,,,,,,リトライ,重试,,재시도,,,,,,,,
BUTTON_OK,,Ok,OK,Aceptar,OK,,,,,,,,,,,,,OK,确认,,확인,,,,,,,,
BUTTON_APPLY,,Apply,Appliquer,Aplicar,Anwenden,,,,,,,,,,,,,適用,应用,,적용,,,,,,,,
BUTTON_PLAY_TUTORIAL,,Play Tutorial,Didacticiel,Jugar Tutorial,Tutorial spielen,,,,,,,,,,,,,チュートリアル,开始教程,,튜토리얼 플레이,,,,,,,,
BUTTON_CAMPAIGN,,Campaign,Campagne,Campaña,Kampagne,,,,,,,,,,,,,キャンペーン,关卡模式,,캠페인,,,,,,,,
BUTTON_CAMPAIGN_HINT,,"Play missions, clear objectives and progress through campaign!","Jouez aux missions, terminez des objectifs et avancez dans la campagne !","¡Juega las misiones, cumple los objetivos y avanza en la campaña!","Spiele Missionen, erledige Ziele und schreite in der Kampagne voran.",,,,,,,,,,,,,ミッションをプレイし、目標をクリアして、キャンペーンを進んでいこう！,开始任务，完成目标，在关卡模式中一路前进！,,"미션을 플레이하고, 목표를 달성하며 캠페인을 진행하세요!",,,,,,,,
BUTTON_SOLO,,Solo,Solo,Individual,Solo,,,,,,,,,,,,,ソロ,单人模式,,솔로,,,,,,,,
BUTTON_SOLO_HINT,,Play any level you like and compete on the online leaderboards!,Jouez au niveau de votre choix et tentez d'obtenir la meilleure place sur le classement en ligne !,¡Juega el nivel que desees y compite en la tabla de posiciones en línea!,"Spiele einen beliebigen Level, der dir gefällt, und tritt in den Online-Bestenlisten an.",,,,,,,,,,,,,好きなステージをプレイして、オンラインランキングで競おう！,随意选择关卡畅玩，并在网络排行榜上与人竞争！,,원하는 레벨을 플레이하고 온라인 순위를 놓고 경쟁하세요!,,,,,,,,
BUTTON_PARTY,,Party,Groupe,Grupo,Gruppe,,,,,,,,,,,,,パーティー,聚会模式,,파티,,,,,,,,
BUTTON_PARTY_HINT,,Play with your friends locally!,Jouez en local avec vos amis !,¡Juega con tus amigos en modo local!,Spiele lokal mit deinen Freunden.,,,,,,,,,,,,,ローカルで友だちと一緒にプレイしよう！,在本地和好友一起玩！,,지역에서 친구와 플레이하세요!,,,,,,,,
LABEL_HOW_TO_PLAY,,How To Play,Guide de jeu,Cómo Jugar,So spielst du,,,,,,,,,,,,,プレイの方法,游戏玩法,,플레이 방법,,,,,,,,
BUTTON_CREDITS,,Credits,Crédits,Créditos,Mitwirkende,,,,,,,,,,,,,クレジット,制作人员,,크레딧,,,,,,,,
MENU_FLOOR_ADJUST,,Floor Adjust,Réglage du sol,Ajuste del Suelo,Bodenanpassung,,,,,,,,,,,,,床調整,地面校准,,바닥 조절,,,,,,,,
BUTTON_SETTINGS,,Settings,Paramètres,Ajustes,Einstellungen,,,,,,,,,,,,,設定,设置,,설정,,,,,,,,
BUTTON_QUIT,,Quit,Quitter,Salir,Verlassen,,,,,,,,,,,,,終了,退出,,나가기,,,,,,,,
BUTTON_BASICS,,Basics,Bases,Aspectos Básicos,Grundlagen,,,,,,,,,,,,,基礎,基础内容,,기본,,,,,,,,
BUTTON_SCORE_SYSTEM,,Score System,Score,Sistema de Puntuación,Punktesystem,,,,,,,,,,,,,スコアシステム,得分系统,,점수 체계,,,,,,,,
BUTTON_LOCAL_PLAYER,,Local Player,Joueur local,Jugador Local,Lokaler Spieler,,,,,,,,,,,,,ローカルプレイヤー,本地玩家,,로컬 플레이어,,,,,,,,
BUTTON_GUEST_PLAYER,,Guest Player,Invité,Jugador Invitado,Gastspieler,,,,,,,,,,,,,ゲストプレイヤー,访客玩家,,게스트 플레이어,,,,,,,,
BUTTON_HIGHSCORES_ALL_TIME,,All Time,Tout,Desde el comienzo,Alle Zeiten,,,,,,,,,,,,,今まで,所有时间,,역대,,,,,,,,
BUTTON_HIGHSCORES_TODAY,,Today,Aujourd'hui,Hoy,Heute,,,,,,,,,,,,,今日,今天,,오늘,,,,,,,,
BUTTON_HIGHSCORES_CLEAR_ALL,,Clear All,Tout effacer,Eliminar Todo,Alle löschen,,,,,,,,,,,,,すべて削除,清除所有,,모두 지우기,,,,,,,,
BUTTON_HIGHSCORES_GLOBAL,,Global,Mondial,Global,Global,,,,,,,,,,,,,グローバル,全球,,글로벌,,,,,,,,
BUTTON_HIGHSCORES_AROUND_YOU,,Around You,À proximité,A tu Alrededor,In deiner Nähe,,,,,,,,,,,,,ローカル,附近,,근처,,,,,,,,
BUTTON_HIGHSCORES_FRIENDS,,Friends,Amis,Amigos,Freunde,,,,,,,,,,,,,友だち,好友,,친구,,,,,,,,
BUTTON_MODIFIERS,,Modifiers,Modificateurs,Modificadores,Modifikatoren,,,,,,,,,,,,,ルール変更,模组使用者,,모디파이어,,,,,,,,
BUTTON_BUY_LEVEL,,Buy Level,Acheter le niveau,Comprar Nivel,Level kaufen,,,,,,,,,,,,,ステージを購入,购买关卡,,레벨 구매,,,,,,,,
BUTTON_BUY_MUSIC_PACK,,Buy Music Pack,Acheter le pack,Comprar Paquete Musical,Musikpaket kaufen,,,,,,,,,,,,,音楽パックを購入,购买音乐包,,뮤직 팩 구매,,,,,,,,
BUTTON_RESET_ROOM,,Reset Room,Réinitialiser l'espace,Reiniciar,Raum zurücksetzen,,,,,,,,,,,,,ルームをリセット,重置房间,,공간 초기화,,,,,,,,
BUTTON_MENU,,Menu,Menu,Menú,Menü,,,,,,,,,,,,,メニュー,菜单,,메뉴,,,,,,,,
BUTTON_RESTART,,Restart,Recommencer,Reiniciar,Neu starten,,,,,,,,,,,,,再スタート,重新开始,,재시작,,,,,,,,
STATS_ALL,,All,Toutes,Todo,Alle,,,,,,,,,,,,,すべて,所有,,전체,,,,,,,,
STATS_LEVELS_PLAYED,,Levels Played,Niveaux tentés,Niveles Jugados,Gespielte Level,,,,,,,,,,,,,プレイしたステージ,玩过的关卡,,플레이한 레벨,,,,,,,,
STATS_LEVELS_CLEARED,,Levels Cleared,Niveaux terminés,Niveles Terminados,Abgeschlossene Level,,,,,,,,,,,,,クリアしたステージ,完成的关卡,,완료한 레벨,,,,,,,,
STATS_LEVELS_FAILED,,Levels Failed,Niveaux échoués,Niveles Fallidos,Fehlgeschlagene Level,,,,,,,,,,,,,失敗したステージ,失败的关卡,,실패한 레벨,,,,,,,,
STATS_TOTAL_PLAYED_TIME,,Total Played Time,Temps de jeu total,Total de Tiempo Jugado,Spielzeit insgesamt,,,,,,,,,,,,,全プレイ時間,游戏总时间,,총 플레이 시간,,,,,,,,
STATS_TOTAL_SCORE,,Total Score,Score total,Puntuación Total,Punkte insgesamt,,,,,,,,,,,,,トータルスコア,总分数,,총 점수,,,,,,,,
STATS_HAND_DISTANCE_TRAVELLED,,Hand Distance Travelled,Distance parcourue (mains),Distancia de Mano Recorrida,Mit der Hand zurückgelegte Distanz,,,,,,,,,,,,,手の移動距離,双手移动的距离,,손 이동거리,,,,,,,,
STATS_GOOD_CUTS,,Good Cuts,Coups réussis,Buenos Cortes,Gute Schläge,,,,,,,,,,,,,良いカット,精准击中,,굿 컷,,,,,,,,
STATS_BAD_CUTS,,Bad Cuts,Mauvais coups,Malos Cortes,Schlechte Schläge,,,,,,,,,,,,,悪いカット,勉强击中,,배드 컷,,,,,,,,
STATS_MISSED_NOTES,,Missed Notes,Notes manquées,Notas Perdidas,Verpasste Noten,,,,,,,,,,,,,ミスした音符,漏过的音符,,놓친 음표,,,,,,,,
STATS_FULL_COMBO,,Full Combo,Combo total,Combo completo,Volle Combo,,,,,,,,,,,,,フルCombo,全连击,,풀 Combo,,,,,,,,
STATS_AVERAGE_CUT_SCORE,,Average Cut Score,Score moyen (coups),Puntuación de Cortes Promedio,Durchschnittliche Schlagpunkte,,,,,,,,,,,,,平均カットスコア,平均每次削砍得分,,평균 컷 스코어,,,,,,,,
STATS_MAX_COMBO,,Max Combo,Combo max.,Combo máximo,Max. Combo,,,,,,,,,,,,,最大Combo,最大连击数,,최대 Combo,,,,,,,,
STATS_HIGHSCORE,,Highscore,Meilleur score,Alta Puntuación,Höchstpunktzahl,,,,,,,,,,,,,ハイスコア,高分,,하이스코어,,,,,,,,
STATS_MAX_RANK,,Max Rank,Rang max.,Rango Máximo,Max. Rang,,,,,,,,,,,,,最高ランク,最高排名,,최대 순위,,,,,,,,
STATS_RANK,,rank,rang,rango,Rang,,,,,,,,,,,,,ランク,排名,,순위,,,,,,,,
